[n9] 分组 ['main', 'aug']；21 臂 × 9 对 + 基线 = 396 个条目；dry_run=False

组     臂                配对      唯一开关                           复用判定
main  feat_base_sem    1:0     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    1:1     --feat-groups base+sem         ♻ 复用
main  feat_base_sem    1:2     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    2:0     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    2:1     --feat-groups base+sem         ▶ 新跑
main  feat_base_sem    2:2     --feat-groups base+sem         ♻ 复用
main  hid256           0:0     --hid 256                      ♻ 复用
main  hid256           0:1     --hid 256                      ▶ 新跑
main  hid256           0:2     --hid 256                      ▶ 新跑
main  hid256           1:0     --hid 256                      ▶ 新跑
main  hid256           1:1     --hid 256                      ♻ 复用
main  hid256           1:2     --hid 256                      ▶ 新跑
main  hid256           2:0     --hid 256                      ▶ 新跑
main  hid256           2:1     --hid 256                      ▶ 新跑
main  hid256           2:2     --hid 256                      ♻ 复用
main  numbases1        0:0     --num-bases 1                  ♻ 复用
main  numbases1        0:1     --num-bases 1                  ▶ 新跑
main  numbases1        0:2     --num-bases 1                  ▶ 新跑
main  numbases1        1:0     --num-bases 1                  ▶ 新跑
main  numbases1        1:1     --num-bases 1                  ♻ 复用
main  numbases1        1:2     --num-bases 1                  ▶ 新跑
main  numbases1        2:0     --num-bases 1                  ▶ 新跑
main  numbases1        2:1     --num-bases 1                  ▶ 新跑
main  numbases1        2:2     --num-bases 1                  ♻ 复用
main  numbases3        0:0     --num-bases 3                  ♻ 复用
main  numbases3        0:1     --num-bases 3                  ▶ 新跑
main  numbases3        0:2     --num-bases 3                  ▶ 新跑
main  numbases3        1:0     --num-bases 3                  ▶ 新跑
main  numbases3        1:1     --num-bases 3                  ♻ 复用
main  numbases3        1:2     --num-bases 3                  ▶ 新跑
main  numbases3        2:0     --num-bases 3                  ▶ 新跑
main  numbases3        2:1     --num-bases 3                  ▶ 新跑
main  numbases3        2:2     --num-bases 3                  ♻ 复用
main  numbases4        0:0     --num-bases 4                  ♻ 复用
main  numbases4        0:1     --num-bases 4                  ▶ 新跑
main  numbases4        0:2     --num-bases 4                  ▶ 新跑
main  numbases4        1:0     --num-bases 4                  ▶ 新跑
main  numbases4        1:1     --num-bases 4                  ♻ 复用
main  numbases4        1:2     --num-bases 4                  ▶ 新跑
main  numbases4        2:0     --num-bases 4                  ▶ 新跑
main  numbases4        2:1     --num-bases 4                  ▶ 新跑
main  numbases4        2:2     --num-bases 4                  ♻ 复用
main  dropedge02       0:0     --drop-edge-prob 0.2           ♻ 复用
main  dropedge02       0:1     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       0:2     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       1:0     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       1:1     --drop-edge-prob 0.2           ♻ 复用
main  dropedge02       1:2     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       2:0     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       2:1     --drop-edge-prob 0.2           ▶ 新跑
main  dropedge02       2:2     --drop-edge-prob 0.2           ♻ 复用
main  layers1          0:0     --layers 1                     ♻ 复用
main  layers1          0:1     --layers 1                     ▶ 新跑
main  layers1          0:2     --layers 1                     ▶ 新跑
main  layers1          1:0     --layers 1                     ▶ 新跑
main  layers1          1:1     --layers 1                     ♻ 复用
main  layers1          1:2     --layers 1                     ▶ 新跑
main  layers1          2:0     --layers 1                     ▶ 新跑
main  layers1          2:1     --layers 1                     ▶ 新跑
main  layers1          2:2     --layers 1                     ♻ 复用
main  layers3          0:0     --layers 3                     ♻ 复用
main  layers3          0:1     --layers 3                     ▶ 新跑
main  layers3          0:2     --layers 3                     ▶ 新跑
main  layers3          1:0     --layers 3                     ▶ 新跑
main  layers3          1:1     --layers 3                     ♻ 复用
main  layers3          1:2     --layers 3                     ▶ 新跑
main  layers3          2:0     --layers 3                     ▶ 新跑
main  layers3          2:1     --layers 3                     ▶ 新跑
main  layers3          2:2     --layers 3                     ♻ 复用
main  cb_unlimited     0:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss0 ♻ 复用
main  cb_unlimited     0:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss1 ▶ 新跑
main  cb_unlimited     0:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss2 ▶ 新跑
main  cb_unlimited     1:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss0 ▶ 新跑
main  cb_unlimited     1:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss1 ♻ 复用
main  cb_unlimited     1:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss2 ▶ 新跑
main  cb_unlimited     2:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss0 ▶ 新跑
main  cb_unlimited     2:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss1 ▶ 新跑
main  cb_unlimited     2:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_unlimited_ss2 ♻ 复用
main  cb_rev           0:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss0 ♻ 复用
main  cb_rev           0:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss1 ▶ 新跑
main  cb_rev           0:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss2 ▶ 新跑
main  cb_rev           1:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss0 ▶ 新跑
main  cb_rev           1:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss1 ♻ 复用
main  cb_rev           1:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss2 ▶ 新跑
main  cb_rev           2:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss0 ▶ 新跑
main  cb_rev           2:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss1 ▶ 新跑
main  cb_rev           2:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs_ft/graph_variants/cb_rev_ss2 ♻ 复用
main  cb_frozen        0:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ♻ 复用
main  cb_frozen        0:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ▶ 新跑
main  cb_frozen        0:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ▶ 新跑
main  cb_frozen        1:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ▶ 新跑
main  cb_frozen        1:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ♻ 复用
main  cb_frozen        1:2     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ▶ 新跑
main  cb_frozen        2:0     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ▶ 新跑
main  cb_frozen        2:1     --graph-dir /home/saumarez/projects/deep-learning/SSM-HG/products/alldata/graphs ▶ 新跑
